endTime,artistName,trackName,msPlayed
2019-11-02 14:04,Magic City Hippies,Franny,17543
2019-11-02 14:08,Dr. Dog,Heart It Races - Cover Version,233128
2019-11-02 14:17,Pigeons Playing Ping Pong,Horizon,575120
2019-11-02 14:21,The Revivalists,Change,229453
2019-11-02 14:24,Mt. Joy,Astrovan,186133
2019-11-02 14:28,The Wood Brothers,Luckiest Man,233666
2019-11-02 14:31,Fruit Bats,Humbug Mountain Song,184346
2019-11-02 14:34,Netherfriends,Uptown Boys,2759
2019-11-02 14:34,Des Rocs,Outta My Mind,165566
2019-11-02 14:35,The Palms,Levitate,20224
2019-11-02 14:37,Argonaut & Wasp,Beast of Burden,166049
2019-11-02 14:40,Magic Bronson,Nervous,173152
2019-11-02 14:42,Sure Sure,Fat Lady,95382
2019-11-02 14:46,Mosie,Look@Ugo,251477
2019-11-02 14:46,Argonaut & Wasp,Beast of Burden,3221
2019-11-02 14:46,STRFKR,Open Your Eyes,6454
2019-11-02 14:48,Louis Futon,Rewind,80106
2019-11-02 14:51,Generationals,TenTwentyTen,202613
2019-11-02 14:55,Big Wild,Venice Venture,220865
2019-11-02 14:56,Private Island,Dissolve,70241
2019-11-02 14:56,Big Wild,Venice Venture,1813
2019-11-02 14:59,Argonaut & Wasp,Beast of Burden,166049
2019-11-02 15:02,NoMBe,Summer's Gone,213698
2019-11-02 15:05,Max Frost,Die Young,187853
2019-11-02 15:09,STRFKR,Kahlil Gibran,241413
2019-11-02 15:13,Electric Guest,Oh Devil - Radio Version,217386
2019-11-02 15:17,Lewis Del Mar,Painting (Masterpiece),243413
2019-11-02 15:17,HUNNY,Vowels (and the Importance of Being Me),26065
2019-11-02 15:20,Mt. Joy,Dirty Love,164626
2019-11-02 15:23,Yoke Lore,Ride,175118
2019-11-02 15:26,Whethan,When I'm Down,164680
2019-11-02 15:30,Magic City Hippies,BRNT (feat. The EMEFE Horns),264365
2019-11-02 15:34,Generationals,TenTwentyTen,202613
2019-11-02 15:34,Argonaut & Wasp,Beast of Burden,11158
2019-11-02 15:38,The Rolling Stones,Gimme Shelter,270773
2019-11-02 15:42,Sure Sure,This Must Be The Place,219260
2019-11-02 15:45,Sturgill Simpson,Sing Along,174568
2019-11-02 15:47,Galactic,Going Straight Crazy (feat. Princess Shaw),1237
2019-11-02 15:47,Briston Maroney,Freakin' Out On the Interstate,1280
2019-11-02 15:47,Magic City Hippies,Franny,1130
2019-11-02 15:47,Pigeons Playing Ping Pong,F.U.,119071
2019-11-02 15:47,Samm Henshaw,Broke,960
2019-11-02 15:47,Coast Modern,Guru,1045
2019-11-02 15:47,Max Frost,Adderall,1237
2019-11-02 15:47,The Revivalists,Wish I Knew You,1301
2019-11-02 15:47,The Dip,Slow Sipper,938
2019-11-02 15:51,Dr. Dog,Where'd All the Time Go?,234800
2019-11-02 15:52,Your Smith,The Spot,34118
2019-11-02 15:54,Drug Cabin,Stoner,149480
2019-11-02 15:55,Cold War Kids,So Tied Up - Stint Remix,28494
2019-11-02 15:58,Coast Modern,Electric Feel,192729
2019-11-02 16:00,Still Woozy,Habit,153871
2019-11-02 16:07,Umphrey's McGee,Come as Your Kids,384543
2019-11-02 16:14,The Fritz,Stuck in Between,408693
2019-11-02 16:15,Felly,Maple,105927
2019-11-03 12:49,The Rolling Stones,Beast Of Burden - Remastered,113577
2019-11-03 12:52,Generationals,TenTwentyTen,202613
2019-11-03 12:55,Argonaut & Wasp,Beast of Burden,166049
2019-11-03 12:59,The Rolling Stones,Gimme Shelter,270773
2019-11-03 13:00,Sure Sure,This Must Be The Place,21843
2019-11-03 13:03,Sturgill Simpson,Sing Along,174568
2019-11-03 13:07,Pigeons Playing Ping Pong,F.U.,281000
2019-11-03 13:10,Magic City Hippies,Franny,195253
2019-11-03 13:14,Samm Henshaw,Broke,1990
2019-11-03 13:14,Coast Modern,Guru,204066
2019-11-03 13:14,The Dip,Slow Sipper,33401
2019-11-03 13:15,Galactic,Going Straight Crazy (feat. Princess Shaw),970
2019-11-03 13:15,Briston Maroney,Freakin' Out On the Interstate,6720
2019-11-03 13:15,Max Frost,Adderall,43660
2019-11-03 13:20,Twiddle,Syncopated Healing,278291
2019-11-03 13:26,90 Pounds of Pete,Promiseland,291840
